"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Unauthenticated DELETE returns 403 @API","chromium","Fri Aug 07 03:47:46 UTC 2026","passed","Fri Aug 07 03:47:46 UTC 2026","","api/smoke/bookings.spec.ts","",""
"","613","Complete checkout happy path @smoke","chromium","Fri Aug 07 03:47:48 UTC 2026","passed","Fri Aug 07 03:47:49 UTC 2026","Checkout","login/Checkout.spec.ts","",""
"","242","Invalid credentials should show error @regression","chromium","Fri Aug 07 03:47:54 UTC 2026","passed","Fri Aug 07 03:47:54 UTC 2026","Login Module > Unauthenticated flows","login/Login.spec.ts","",""
"","24","Unauthenticated PUT returns 403 @API","chromium","Fri Aug 07 03:47:46 UTC 2026","passed","Fri Aug 07 03:47:46 UTC 2026","","api/smoke/bookings.spec.ts","",""
"","503","Add 1 item -> badge updates -> cart contains item","chromium","Fri Aug 07 03:47:46 UTC 2026","passed","Fri Aug 07 03:47:46 UTC 2026","Cart Test","login/Cart.spec.ts","",""
"","430","Remove only item from inventory -> badge disappears","chromium","Fri Aug 07 03:47:47 UTC 2026","passed","Fri Aug 07 03:47:47 UTC 2026","Cart Test","login/Cart.spec.ts","",""
"","99","GET /booking list ids @smoke @API","chromium","Fri Aug 07 03:47:45 UTC 2026","passed","Fri Aug 07 03:47:45 UTC 2026","","api/smoke/bookings.spec.ts","",""
"","1308","Logout returns to login and blocks inventory access @smoke","chromium","Fri Aug 07 03:47:55 UTC 2026","passed","Fri Aug 07 03:47:56 UTC 2026","Login Module","login/Login.spec.ts","",""
"","399","Product detail page add to cart then back @smoke","chromium","Fri Aug 07 03:47:52 UTC 2026","passed","Fri Aug 07 03:47:52 UTC 2026","Inventory (Products listing) module","login/Inventory.spec.ts","",""
"","23","POST /booking create booking (separate models) @smoke @API","chromium","Fri Aug 07 03:47:45 UTC 2026","passed","Fri Aug 07 03:47:45 UTC 2026","","api/smoke/bookings.spec.ts","",""
"","12","GET /ping health check @API","chromium","Fri Aug 07 03:47:46 UTC 2026","passed","Fri Aug 07 03:47:46 UTC 2026","","api/smoke/bookings.spec.ts","",""
"","54","DELETE /booking/:id delete booking @smoke @API","chromium","Fri Aug 07 03:47:45 UTC 2026","passed","Fri Aug 07 03:47:45 UTC 2026","","api/smoke/bookings.spec.ts","",""
"","321","Sort by price low to high @regression","chromium","Fri Aug 07 03:47:51 UTC 2026","passed","Fri Aug 07 03:47:52 UTC 2026","Inventory (Products listing) module","login/Inventory.spec.ts","",""
"","38","PATCH /booking/:id partially updates booking @smoke @API","chromium","Fri Aug 07 03:47:46 UTC 2026","passed","Fri Aug 07 03:47:46 UTC 2026","","api/smoke/bookings.spec.ts","",""
"","58","PUT /booking/:id updates booking @smoke @API","chromium","Fri Aug 07 03:47:45 UTC 2026","passed","Fri Aug 07 03:47:46 UTC 2026","","api/smoke/bookings.spec.ts","",""
"","449","Cart -> Checkout navigates to checkout step one","chromium","Fri Aug 07 03:47:48 UTC 2026","passed","Fri Aug 07 03:47:48 UTC 2026","Cart Test","login/Cart.spec.ts","",""
"","324","Locked out user should see locked out error @regression","chromium","Fri Aug 07 03:47:54 UTC 2026","passed","Fri Aug 07 03:47:55 UTC 2026","Login Module > Unauthenticated flows","login/Login.spec.ts","",""
"","29","GET /booking/:id fetch booking by id @smoke @API","chromium","Fri Aug 07 03:47:45 UTC 2026","passed","Fri Aug 07 03:47:45 UTC 2026","","api/smoke/bookings.spec.ts","",""
"","34","GET /booking filter by firstname @API","chromium","Fri Aug 07 03:47:46 UTC 2026","passed","Fri Aug 07 03:47:46 UTC 2026","","api/smoke/bookings.spec.ts","",""
"","497","authenticate as standard user","setup","Fri Aug 07 03:47:44 UTC 2026","passed","Fri Aug 07 03:47:44 UTC 2026","","auth.setup.ts","",""
"","17","POST /auth returns a token @smoke @API","chromium","Fri Aug 07 03:47:45 UTC 2026","passed","Fri Aug 07 03:47:45 UTC 2026","","api/smoke/bookings.spec.ts","",""
"","431","Cancel from checkout step one returns to cart","chromium","Fri Aug 07 03:47:50 UTC 2026","passed","Fri Aug 07 03:47:50 UTC 2026","Checkout","login/Checkout.spec.ts","",""
"","1340","Reset App State clears cart badge @regression","chromium","Fri Aug 07 03:47:52 UTC 2026","passed","Fri Aug 07 03:47:54 UTC 2026","Inventory (Products listing) module","login/Inventory.spec.ts","",""
"","316","Products page loads after login (title/header visible) @smoke","chromium","Fri Aug 07 03:47:50 UTC 2026","passed","Fri Aug 07 03:47:51 UTC 2026","Inventory (Products listing) module","login/Inventory.spec.ts","",""
"","16","GET missing booking id returns 404 @API","chromium","Fri Aug 07 03:47:46 UTC 2026","passed","Fri Aug 07 03:47:46 UTC 2026","","api/smoke/bookings.spec.ts","",""
"","288","Sort by price high to low @regression","chromium","Fri Aug 07 03:47:52 UTC 2026","passed","Fri Aug 07 03:47:52 UTC 2026","Inventory (Products listing) module","login/Inventory.spec.ts","",""
"","581","Add 2 items -> badge 2 -> remove 1 in cart -> badge becomes 1","chromium","Fri Aug 07 03:47:46 UTC 2026","passed","Fri Aug 07 03:47:47 UTC 2026","Cart Test","login/Cart.spec.ts","",""
"","350","Login with valid credentials @smoke","chromium","Fri Aug 07 03:47:54 UTC 2026","passed","Fri Aug 07 03:47:54 UTC 2026","Login Module","login/Login.spec.ts","",""
"","452","Empty cart checkout reaches overview with zero items","chromium","Fri Aug 07 03:47:50 UTC 2026","passed","Fri Aug 07 03:47:50 UTC 2026","Checkout","login/Checkout.spec.ts","",""
"","533","Checkout form shows error when fields are empty @regression","chromium","Fri Aug 07 03:47:49 UTC 2026","passed","Fri Aug 07 03:47:50 UTC 2026","Checkout","login/Checkout.spec.ts","",""
"","285","Catalog shows 6 products and Backpack price @smoke","chromium","Fri Aug 07 03:47:51 UTC 2026","passed","Fri Aug 07 03:47:51 UTC 2026","Inventory (Products listing) module","login/Inventory.spec.ts","",""
"","491","Continue shopping keeps cart state","chromium","Fri Aug 07 03:47:47 UTC 2026","passed","Fri Aug 07 03:47:48 UTC 2026","Cart Test","login/Cart.spec.ts","",""
"","295","Sort by name Z to A @regression","chromium","Fri Aug 07 03:47:51 UTC 2026","passed","Fri Aug 07 03:47:51 UTC 2026","Inventory (Products listing) module","login/Inventory.spec.ts","",""
